metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1728057444,1.000000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_duration,1728057444,209.044900,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_blocked,1728057444,620.730700,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_connecting,1728057444,188.897400,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_tls_handshaking,1728057444,207.505700,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_sending,1728057444,0.000000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_waiting,1728057444,208.044400,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_receiving,1728057444,1.000500,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_failed,1728057444,0.000000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
checks,1728057444,1.000000,is status 200,,,,::exemple post,,meu-test,,default,,,,,,,
group_duration,1728057444,831.814400,,,,,::exemple post,,meu-test,,default,,,,,,,
vus,1728057444,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1728057444,1.000000,,,,,,,meu-test,,,,,,,,,
http_reqs,1728057444,1.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_duration,1728057444,376.371500,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_blocked,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_connecting,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_tls_handshaking,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_sending,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_waiting,1728057444,376.371500,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_receiving,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_failed,1728057444,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
